timestamp,exchange,open_price,base_strike,expiry_1_date,expiry_2_date,expiry_3_date,expiry_4_date,expiry_5_date,total_oi_call_all_expiries,total_oi_put_all_expiries,total_oi_change_call_all_expiries,total_oi_change_put_all_expiries,total_volume_call_all_expiries,total_volume_put_all_expiries,avg_iv_call_all_expiries,avg_iv_put_all_expiries,created_at,pc_oi_ratio,pc_volume_ratio,oi_change_diff_put_call,pc_oi_change_ratio,total_oi_all,total_oi_change_all,total_volume_all,iv_skew,iv_diff_put_call,sentiment_score_oi_change,oi_change_diff_ma5,oi_change_diff_ma15,oi_change_diff_ma30,total_oi_change_ma5,volume_ma5,trend_direction,is_turning_point,is_volume_spike,sentiment_label,prediction_signal,prev_oi_change_diff,prev_total_oi_change,prev_volume,oi_change_diff_std30
2025-12-19 15:30:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,7323070,17174035,-761925,-1549905,737295,2299020,8.374,8.808,2025-12-20 01:37:31,2.345196072139144,3.1181820031330743,-787980,-2.0341962791613346,24497105,-2311830,3036315,1.0518270838309052,0.4339999999999993,0,-376151,-254364.33333333334,-168830.16666666666,-1177449,2315188,BULLISH_CONTINUE,f,f,STRONG_BULLISH,NEUTRAL_PREDICT,-787980,-2311830,3036315,257346.89
2025-12-19 15:29:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,7323070,17174035,-761925,-1549905,737295,2299020,8.374,8.808,2025-12-20 01:37:31,2.345196072139144,3.1181820031330743,-787980,-2.0341962791613346,24497105,-2311830,3036315,1.0518270838309052,0.4339999999999993,0,-218542,-201810.66666666666,-143604.16666666666,-715070,1992521,BULLISH_CONTINUE,t,f,STRONG_BULLISH,NEUTRAL_PREDICT,-65,65,2092870,230224.80
2025-12-19 15:28:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,8084995,18723940,65,0,608605,1484265,8.225999999999999,8.947999999999999,2025-12-20 01:37:29,2.315887641241584,2.438798563928985,-65,0,26808935,65,2092870,1.087770483831753,0.7219999999999995,49.675,-155369,-149002,-117333.83333333333,-541941,1595214,BULLISH_CONTINUE,t,f,NEUTRAL,NEUTRAL_PREDICT,-455,-455,2189155,196682.45
2025-12-19 15:27:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,8084930,18723940,0,-455,894810,1294345,8.094,8.988,2025-12-20 01:37:28,2.315906260165518,1.446502609492518,-455,,26808870,-455,2189155,1.1104521868050408,0.8940000000000001,47.725,-155408,-148928.33333333334,-120451.66666666667,-541902,1519219,BULLISH_CONTINUE,f,f,NEUTRAL,NEUTRAL_PREDICT,-304275,-1263195,1221285,195497.19
2025-12-19 15:26:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,8084930,18724395,-479460,-783735,312135,909150,8.038,9.026000000000002,2025-12-20 01:37:27,2.3159625377090465,2.912682012590706,-304275,-1.6346201977224377,26809325,-1263195,1221285,1.122916148295596,0.9880000000000013,0,-154862,-170266,-133769.16666666666,-541356,1283245,BULLISH_TURN,t,f,STRONG_BULLISH,NEUTRAL_PREDICT,65,65,1422980,200582.90
2025-12-19 15:24:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,8564390,19508130,0,65,444070,978910,7.804,9.116,2025-12-20 01:37:25,2.277818969010052,2.2044047109689915,65,,28072520,65,1422980,1.168118913377755,1.3119999999999994,50.325,-189738,-149976.66666666666,-123624.5,-481436,1358458,BEARISH_TURN,t,f,NEUTRAL,NEUTRAL_PREDICT,-472115,-1446185,1049780,199354.43
2025-12-19 15:23:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,8564390,19508065,-487035,-959150,269320,780460,7.840000000000001,9.101999999999999,2025-12-20 01:37:24,2.2778113794444206,2.897890984702213,-472115,-1.9693656513392261,28072455,-1446185,1049780,1.1609693877551017,1.2619999999999978,0,-189764,-150137,-129453,-481540,1287488,BULLISH_CONTINUE,t,f,STRONG_BULLISH,NEUTRAL_PREDICT,-260,260,1712895,198166.00
2025-12-19 15:22:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,9051425,20467215,260,0,392820,1320075,7.76,9.156,2025-12-20 01:37:23,2.261214670618162,3.3605086299068274,-260,0,29518640,260,1712895,1.1798969072164949,1.3960000000000008,48.7,-150614,-154233.66666666666,-113722.33333333333,-370404,1268208,BULLISH_TURN,f,f,NEUTRAL,NEUTRAL_PREDICT,2275,2275,1009285,188523.29
2025-12-19 15:21:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,9051165,20467215,0,2275,277785,731500,7.632000000000001,9.169999999999998,2025-12-20 01:37:23,2.261279625329999,2.633331533380132,2275,,29518380,2275,1009285,1.2015199161425574,1.5379999999999976,61.375,-244941,-154199,-106851.16666666667,-522539,1131233,BEARISH_TURN,t,f,NEUTRAL,NEUTRAL_PREDICT,-478655,-963595,1597350,196393.54
2025-12-19 15:20:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,9051165,20464940,-242470,-721125,429575,1167775,7.831999999999999,9.062000000000001,2025-12-20 01:37:22,2.2610282764704874,2.718442646802072,-478655,-2.974079267538252,29516105,-963595,1597350,1.157048008171604,1.2300000000000022,0,-245383,-168312.66666666666,-106935.66666666667,-522981,1140445,BULLISH_CONTINUE,f,f,STRONG_BULLISH,NEUTRAL_PREDICT,-65,-455,1068130,196345.51
2025-12-19 15:19:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,9293635,21186065,-195,-260,301585,766545,7.786,9.081999999999999,2025-12-20 01:37:21,2.2796317049249297,2.5417212394515643,-65,-1.3333333333333333,30479700,-455,1068130,1.1664526072437709,1.2959999999999994,49.675,-197204,-164380.66666666666,-91013,-441136,1078232,BULLISH_CONTINUE,f,f,NEUTRAL,NEUTRAL_PREDICT,-276365,-890505,953380,184151.52
2025-12-19 15:17:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,9293830,21186325,-307070,-583435,307225,646155,7.806,9.068,2025-12-20 01:37:19,2.27961185001232,2.1031979819350637,-276365,-1.9000065131728923,30480155,-890505,953380,1.161670509864207,1.2619999999999996,0,-197126,-157862.33333333334,-87593.66666666667,-441084,1100196,BULLISH_CONTINUE,f,f,STRONG_BULLISH,NEUTRAL_PREDICT,-471895,-760415,1028020,186831.33
2025-12-19 15:14:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,9600900,21769760,-144260,-616155,386620,641400,7.786,9.092,2025-12-20 01:37:17,2.2674707579497757,1.6589933267808183,-471895,-4.27114238181062,31370660,-760415,1028020,1.1677369637811457,1.306000000000001,0,-141023,-139412,-82470.83333333333,-412243,1107261,BULLISH_TURN,t,f,STRONG_BULLISH,NEUTRAL_PREDICT,65,65,1055345,183555.08
2025-12-19 15:13:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,9745160,22385915,0,65,371515,683830,7.74,9.078000000000001,2025-12-20 01:37:16,2.2971316017387093,1.8406524635613637,65,,32131075,65,1055345,1.1728682170542637,1.338000000000001,50.325,-46436,-107727,-58512.666666666664,-259952,1354978,BEARISH_TURN,t,f,NEUTRAL,NEUTRAL_PREDICT,-237760,-554370,1286285,177789.38
2025-12-19 15:11:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,9745160,22385850,-158305,-396065,437780,848505,7.775999999999999,9.078000000000001,2025-12-20 01:37:14,2.2971249317609974,1.9381995522865365,-237760,-2.501910868260636,32131010,-554370,1286285,1.1674382716049385,1.3020000000000023,0,-110553,-99116.33333333333,-58508.333333333336,-366495,1519012,BULLISH_TURN,f,f,STRONG_BULLISH,NEUTRAL_PREDICT,325,-195,1177950,177790.86
2025-12-19 15:09:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,9903465,22781915,-260,65,420135,757815,7.692,9.116,2025-12-20 01:37:12,2.300398395914965,1.8037416544682066,325,0.25,32685380,-195,1177950,1.1851274050962037,1.4239999999999995,51.625,-62988,-83296,-44935.5,-255608,1653288,BEARISH_CONTINUE,f,f,NEUTRAL,NEUTRAL_PREDICT,4150,-746300,988705,179171.84
2025-12-19 15:08:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,9903725,22781850,-375225,-371075,342100,646605,7.706,9.114,2025-12-20 01:37:11,2.300331440947724,1.8901052323881906,4150,-0.9889399693517223,32685575,-746300,988705,1.18271476771347,1.4080000000000004,70.75,-63521,-85397.66666666667,-44890,-255101,1759455,BEARISH_CONTINUE,t,f,NEUTRAL,NEUTRAL_PREDICT,1040,1040,2266605,179183.90
2025-12-19 15:06:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10278950,23152925,0,1040,845120,1421485,7.706,9.126000000000001,2025-12-20 01:37:10,2.2524601248181964,1.68199190647482,1040,,33431875,1040,2266605,1.1842719958473917,1.4200000000000008,55.2,-171064,-85665.66666666667,-44991.5,-237874,2197167,BEARISH_TURN,t,f,NEUTRAL,NEUTRAL_PREDICT,-320520,-532650,1875515,179156.02
2025-12-19 15:05:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10278950,23151885,-106065,-426585,662545,1212970,7.712000000000001,9.126000000000001,2025-12-20 01:37:09,2.2523589471687284,1.8307737587635557,-320520,-4.021920520435582,33430835,-532650,1875515,1.183350622406639,1.4140000000000006,0,-171220,-91975,-39296.666666666664,-238030,2696138,BULLISH_TURN,t,f,STRONG_BULLISH,NEUTRAL_PREDICT,65,65,1957665,183336.24
2025-12-19 15:04:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10385015,23578470,0,65,704680,1252985,7.734,9.12,2025-12-20 01:37:08,2.2704319637477655,1.7780907646023727,65,,33963485,65,1957665,1.1792086889061286,1.3859999999999992,50.325,-149002,-97272.33333333333,-28610.5,-190858,2633900,BEARISH_TURN,f,f,NEUTRAL,NEUTRAL_PREDICT,-2340,2340,1708785,175557.25
2025-12-19 15:03:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10385015,23578405,2340,0,731905,976880,7.910000000000001,9.075999999999999,2025-12-20 01:37:07,2.2704257047293623,1.3347087395222057,-2340,0,33963420,2340,1708785,1.1474083438685205,1.1659999999999977,38.3,-232950,-97272.33333333333,-20587.166666666668,-313294,2508826,BULLISH_CONTINUE,t,f,NEUTRAL,NEUTRAL_PREDICT,-533565,-660165,3177265,182284.33
2025-12-19 15:02:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10382675,23578405,-63300,-596865,1092825,2084440,7.846000000000001,9.094,2025-12-20 01:37:06,2.2709374029332516,1.9073868185665592,-533565,-9.429146919431279,33961080,-660165,3177265,1.1590619423910271,1.2479999999999984,0,-212940,-108769,-20507,-314354,2346451,BULLISH_TURN,t,f,STRONG_BULLISH,NEUTRAL_PREDICT,260,260,4761460,182293.16
2025-12-19 15:00:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10445975,24175270,0,260,1660565,3100895,8.01,9.108,2025-12-20 01:37:05,2.314314365102348,1.8673734542158844,260,,34621245,260,4761460,1.1370786516853935,1.0980000000000008,51.3,-106149,-73211,-10989.166666666666,-182243,1982243,BEARISH_TURN,t,t,NEUTRAL,BEARISH_PREDICT,-209430,-296790,1564325,160764.73
2025-12-19 14:59:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10445975,24175010,-43680,-253110,540555,1023770,7.996,9.177999999999999,2025-12-20 01:37:04,2.3142894751327665,1.893923837537346,-209430,-5.794642857142857,34620985,-296790,1564325,1.1478239119559779,1.1819999999999986,0,-105525,-59503.333333333336,-10995.666666666666,-181619,1377270,BULLISH_CONTINUE,f,f,STRONG_BULLISH,NEUTRAL_PREDICT,-419675,-612115,1332295,160764.26
2025-12-19 14:56:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10489655,24428120,-96220,-515895,452610,879685,7.852000000000001,9.244,2025-12-20 01:37:01,2.3287820238129853,1.9435827754578998,-419675,-5.3616192059862815,34917775,-612115,1332295,1.1772796739684155,1.3919999999999986,0,-37794,-45558.666666666664,-7700.833333333333,-176366,1329693,BULLISH_TURN,f,f,STRONG_BULLISH,NEUTRAL_PREDICT,97710,-2960,896910,157537.67
2025-12-19 14:53:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10585875,24944015,-50335,47375,254585,642325,7.659999999999999,9.325999999999999,2025-12-20 01:36:58,2.3563489083330382,2.5230276724865957,97710,0.941194000198669,35529890,-2960,896910,1.2174934725848563,1.6659999999999995,100,46050,-17645.333333333332,6284,-54034,1391225,BEARISH_CONTINUE,t,f,STRONG_BEARISH,BEARISH_PREDICT,390,390,1356225,136986.38
2025-12-19 14:52:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10636210,24896640,0,390,563895,792330,7.597999999999999,9.352,2025-12-20 01:36:58,2.340743554329973,1.4051020136727583,390,,35532850,390,1356225,1.2308502237430905,1.7540000000000013,51.95,20268,-17325,-2671,-95322,1413102,BEARISH_CONTINUE,f,f,NEUTRAL,NEUTRAL_PREDICT,3380,3380,1736595,139560.47
2025-12-19 14:51:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10636210,24896250,0,3380,549050,1187545,7.715999999999999,9.26,2025-12-20 01:36:57,2.3407068871336687,2.1629086604134415,3380,,35532460,3380,1736595,1.2001036806635563,1.5440000000000005,66.9,20216,-25529.666666666668,-2679.6666666666665,-95504,1397338,BEARISH_CONTINUE,t,f,NEUTRAL,NEUTRAL_PREDICT,129225,-270525,1326440,139560.28
2025-12-19 14:50:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10636210,24892870,-199875,-70650,447590,878850,7.575999999999999,9.306,2025-12-20 01:36:56,2.3403891047657015,1.9635157175093276,129225,-0.35347091932457786,35529080,-270525,1326440,1.2283526927138333,1.7300000000000004,100,820,-9298.333333333334,18782,-108150,1187130,BEARISH_TURN,f,f,STRONG_BEARISH,BEARISH_PREDICT,-455,-455,1639955,183205.45
2025-12-19 14:48:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10836085,24963520,0,-455,640900,999055,7.447999999999999,9.39,2025-12-20 01:36:54,2.3037397731745366,1.5588313309408643,-455,,35799605,-455,1639955,1.2607411385606877,1.942000000000002,47.725,-105021,-17900.333333333332,13877.833333333334,-95039,1173307,BULLISH_CONTINUE,f,f,NEUTRAL,NEUTRAL_PREDICT,-31200,-209400,1006295,182113.01
2025-12-19 14:47:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10836085,24963975,-89100,-120300,275775,730520,7.395999999999999,9.4,2025-12-20 01:36:53,2.303781762509246,2.6489710814975975,-31200,-1.3501683501683501,35800060,-209400,1006295,1.2709572742022717,2.0040000000000013,0,-104917,-6575,13923.333333333334,-94935,1159039,BULLISH_TURN,f,f,BULLISH,NEUTRAL_PREDICT,130,-520,1277405,182109.47
2025-12-19 14:46:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10925185,25084275,-325,-195,492665,784740,7.389999999999999,9.416,2025-12-20 01:36:52,2.296004598549132,1.5928470664650423,130,-0.6,36009460,-520,1277405,1.274154262516915,2.0260000000000016,50.65,-133635,-4382.333333333333,14565.666666666666,-134561,1458958,BEARISH_TURN,f,f,NEUTRAL,NEUTRAL_PREDICT,-93600,-59850,685555,181978.76
2025-12-19 14:44:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10925510,25084470,16875,-76725,290080,395475,7.467999999999999,9.35,2025-12-20 01:36:51,2.295954147678232,1.363330805295091,-93600,-4.546666666666667,36009980,-59850,685555,1.2520085698982326,1.8820000000000006,0,-133700,-4317.333333333333,14442.166666666666,-134470,1359132,BULLISH_CONTINUE,f,f,STRONG_BULLISH,NEUTRAL_PREDICT,-399980,-204970,1257325,181990.16
2025-12-19 14:41:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10908635,25161195,97505,-302475,466685,790640,7.514,9.314,2025-12-20 01:36:48,2.3065392691202886,1.694162015063694,-399980,-3.1021486077637044,36069830,-204970,1257325,1.239552834708544,1.7999999999999998,0,-73805,13381.666666666666,25346.666666666668,-103285,1410003,BULLISH_TURN,t,f,STRONG_BULLISH,NEUTRAL_PREDICT,65,65,1568615,185067.87
2025-12-19 14:39:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10811130,25463670,0,65,623325,945290,7.548,9.312000000000001,2025-12-20 01:36:46,2.3553199341789433,1.5165282958328319,65,,36274800,65,1568615,1.233704292527822,1.7640000000000011,50.325,6139,40051.333333333336,42085.666666666664,-62343,1388920,BEARISH_TURN,t,f,NEUTRAL,NEUTRAL_PREDICT,-174790,-407530,2505890,167110.30
2025-12-19 14:38:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10811130,25463605,-116370,-291160,893735,1612155,7.574000000000001,9.318000000000001,2025-12-20 01:36:45,2.355313921856457,1.803840064448634,-174790,-2.5020194208129243,36274735,-407530,2505890,1.2302614206495908,1.7440000000000007,0,5931,56098,42085.666666666664,-62551,1600253,BULLISH_CONTINUE,f,t,STRONG_BULLISH,BULLISH_PREDICT,-195,-65,778275,167110.30
2025-12-19 14:36:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10927500,25754765,65,-130,253645,524630,7.6899999999999995,9.284,2025-12-20 01:36:43,2.3568762296957217,2.068363263616472,-195,-2,36682265,-65,778275,1.2072821846553967,1.5940000000000012,49.025,61392,67755,59086,-7008,1346113,BULLISH_TURN,t,f,NEUTRAL,NEUTRAL_PREDICT,205875,96075,939910,170199.89
2025-12-19 14:35:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10927435,25754895,-54900,150975,245140,694770,7.668000000000001,9.297999999999998,2025-12-20 01:36:42,2.3569021458375183,2.8341763890022027,205875,2.75,36682330,96075,939910,1.2125717266562333,1.6299999999999972,100,36895,51232.666666666664,59099,-37175,1559468,BEARISH_TURN,t,f,STRONG_BEARISH,BEARISH_PREDICT,-260,-260,1151910,170195.22
2025-12-19 14:34:00,NSE,25911.5,25900,2025-12-23,2025-12-30,2026-01-06,2026-01-13,2026-01-20,10982335,25603920,0,-260,297580,854330,7.678,9.296,2025-12-20 01:36:41,2.331373064107041,2.870925465421063,-260,,36586255,-260,1151910,1.2107319614482936,1.6179999999999994,48.7,45090,37512,67737.83333333333,-318048,1780231,BULLISH_CONTINUE,f,f,NEUTRAL,NEUTRAL_PREDICT,-975,-975,2625280,183925.77
